id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
341,608,611,668,S2,S3,Red,0
338,608,625,686,S1,S3,Red,0
342,608,625,686,S1,S3,Red,0
345,608,625,686,S1,S3,Red,0
370,617,625,686,S1,S3,Red,0
373,617,625,686,S1,S3,Red,0
378,617,625,686,S1,S3,Red,0
202,513,578,651,S1,S3,Blue,0
203,513,578,651,S1,S3,Blue,0
205,513,578,651,S1,S3,Blue,0
220,515,578,651,S1,S2,Blue,0
226,517,578,651,S1,S3,Blue,0
228,517,578,651,S1,S3,Blue,0
231,532,578,651,S1,S3,Blue,0
236,532,578,651,S1,S3,Blue,0
239,532,578,651,S1,S3,Blue,0
244,537,578,651,S1,S3,Blue,0
245,537,578,651,S1,S2,Blue,0
248,537,578,651,S1,S3,Blue,0
250,537,578,651,S1,S2,Blue,0
252,540,578,651,S1,S3,Blue,0
259,540,578,651,S1,S3,Blue,0
266,550,578,651,S1,S3,Blue,0
257,540,602,679,S2,S1,Blue,0
289,578,602,679,S2,S1,Blue,0
267,550,617,699,S3,S1,Blue,0
268,550,617,699,S3,S1,Blue,0
271,551,617,699,S3,S1,Blue,0
273,551,617,699,S3,S1,Blue,0
275,551,617,699,S3,S1,Blue,0
276,551,617,699,S3,S1,Blue,0
277,551,617,699,S3,S1,Blue,0
280,551,617,699,S3,S1,Blue,0
283,578,617,699,S3,S1,Blue,0
288,578,617,699,S3,S1,Blue,0
294,579,617,699,S3,S1,Blue,0
295,579,617,699,S3,S1,Blue,0
306,592,617,699,S3,S1,Blue,0
310,592,617,699,S3,S1,Blue,0
319,593,617,699,S3,S1,Blue,0
323,602,617,699,S3,S1,Blue,0
329,602,617,699,S3,S1,Blue,0
332,602,617,699,S3,S1,Blue,0
334,602,617,699,S3,S1,Blue,0
339,608,617,699,S3,S1,Blue,0
351,611,617,699,S3,S1,Blue,0
353,611,617,699,S3,S1,Blue,0
355,611,617,699,S3,S1,Blue,0
359,611,617,699,S3,S1,Blue,0
224,517,579,666,S3,S2,Red,0
225,517,579,666,S3,S2,Red,0
